RECORDING_SESSION_LABEL,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_CONTAINS_BLINK,CURRENT_SAC_DURATION,CURRENT_SAC_END_TIME,CURRENT_SAC_INDEX,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_PEAK_VELOCITY_TIME,CURRENT_SAC_START_TIME,TRIAL_INDEX,TRIAL_SACCADE_TOTAL,TRIAL_START_TIME,TRIAL_LABEL
alcohol_01,2.2,84.64,FALSE,26,1622,5,138.34,184128,1597,15,10,182519,Trial: 15
alcohol_01,19.8,257.11,FALSE,77,2142,6,422.55,184606,2066,15,10,182519,Trial: 15
alcohol_01,4.9,128.96,FALSE,38,2740,7,208.79,185239,2703,15,10,182519,Trial: 15
alcohol_01,2.35,93.99,FALSE,25,3392,8,148.53,185899,3368,15,10,182519,Trial: 15
alcohol_01,0.62,36.64,FALSE,17,3746,9,57.46,186254,3730,15,10,182519,Trial: 15
alcohol_01,21.5,172.03,TRUE,125,4915,10,1401.78,187331,4791,15,10,182519,Trial: 15
alcohol_01,2.14,85.48,FALSE,25,618,1,142.59,188069,594,16,9,187463,Trial: 16
alcohol_01,10.04,189.4,FALSE,53,807,2,354.19,188236,755,16,9,187463,Trial: 16
alcohol_01,1,43.61,FALSE,23,954,3,88.38,188404,932,16,9,187463,Trial: 16
alcohol_01,18.13,248.29,FALSE,73,1588,4,377.11,189015,1516,16,9,187463,Trial: 16
alcohol_01,2.39,92.1,FALSE,26,1911,5,136.15,189362,1886,16,9,187463,Trial: 16
alcohol_01,2.49,19.28,FALSE,129,2076,6,298.39,189426,1948,16,9,187463,Trial: 16
alcohol_01,8.91,178.22,FALSE,50,2258,7,299.41,189687,2209,16,9,187463,Trial: 16
alcohol_01,2.39,95.75,FALSE,25,2815,8,148.85,190267,2791,16,9,187463,Trial: 16
alcohol_01,22.93,125.97,TRUE,182,4322,9,1390.15,191626,4141,16,9,187463,Trial: 16
alcohol_01,5.81,141.59,FALSE,41,540,1,247.95,192330,500,17,12,191816,Trial: 17
alcohol_01,4.48,131.84,FALSE,34,670,2,253.84,192468,637,17,12,191816,Trial: 17
alcohol_01,1.57,74.72,FALSE,21,805,3,111,192611,785,17,12,191816,Trial: 17
alcohol_01,22.34,306.03,FALSE,73,1004,4,467.95,192781,932,17,12,191816,Trial: 17
alcohol_01,15.23,197.75,FALSE,77,1261,5,404.43,193018,1185,17,12,191816,Trial: 17
alcohol_01,13.35,247.25,FALSE,54,1536,6,479.54,193317,1483,17,12,191816,Trial: 17
alcohol_01,10.87,54.92,FALSE,198,2010,7,803.71,193677,1813,17,12,191816,Trial: 17
alcohol_01,4.71,134.67,FALSE,35,2603,8,216.44,194399,2569,17,12,191816,Trial: 17
alcohol_01,3.71,123.62,FALSE,30,2938,9,213.74,194739,2909,17,12,191816,Trial: 17
alcohol_01,0.89,46.67,FALSE,19,3732,10,73.43,195537,3714,17,12,191816,Trial: 17
alcohol_01,2.65,11.12,TRUE,238,4391,11,1467.7,195988,4154,17,12,191816,Trial: 17
alcohol_01,1.64,71.21,FALSE,23,4594,12,117.15,196399,4572,17,12,191816,Trial: 17
alcohol_01,4.54,110.69,FALSE,41,341,1,195.23,197092,301,18,9,196778,Trial: 18
alcohol_01,7.24,160.78,FALSE,45,773,2,289.02,197522,729,18,9,196778,Trial: 18
alcohol_01,1.16,61.28,FALSE,19,899,3,83.92,197667,881,18,9,196778,Trial: 18
alcohol_01,19.48,290.79,FALSE,67,1382,4,445.49,198126,1316,18,9,196778,Trial: 18
