condition,id,trial,peak_time,peak_point,freqency,trial_start,amplitude,avg_velocity,duration,sac_end_time,sac_index,peak_velocity,sac_peak_velocity_time,sac_start_time,trial_saccade_total,trial_start_time
alcohol,4,61,10.714285714285714,0.5154058174994135,9.0,296619.0,1.6900000000000002,1.6900000000000002,21.0,2534.4285714285716,4.571428571428571,118.91,4588605.142857143,2514.4285714285716,9.0,4586081.0
alcohol,4,62,13.375,0.46368487530920427,10.0,301931.0,3.31375,3.31375,30.0,3050.25,5.375,195.73749999999998,4594426.625,3021.25,10.0,4591393.0
alcohol,4,63,11.777777777777779,0.47791641893497183,11.0,306967.0,2.4833333333333334,2.4833333333333334,27.0,2935.5555555555557,5.444444444444445,146.11666666666667,4599349.333333333,2909.5555555555557,11.0,4596429.0
alcohol,4,64,11.4,0.4641592815786364,6.0,313033.0,2.316,2.316,25.0,2668.6,3.6,155.95,4605150.0,2644.6,6.0,4602495.0
alcohol,4,65,12.4,0.46094802516252364,11.0,317615.0,2.791,2.791,28.5,2247.4,5.6,155.07399999999998,4609308.3,2219.9,11.0,4607077.0
alcohol,4,66,10.5,0.5287162162162162,5.0,322873.0,2.18,2.18,22.5,505.5,1.5,104.48,4612828.5,484.0,5.0,4612335.0
alcohol,4,67,12.714285714285714,0.42792009792009794,7.0,327255.0,3.13,3.13,31.0,2329.5714285714284,4.0,174.41000000000003,4619028.285714285,2299.5714285714284,7.0,4616717.0
alcohol,4,68,12.0,0.5031776855252466,14.0,331529.0,2.5216666666666665,2.5216666666666665,25.416666666666668,2698.0833333333335,6.666666666666667,151.0583333333333,4623675.666666667,2673.6666666666665,14.0,4620991.0
alcohol,4,69,12.1,0.474269632960335,10.0,336856.0,2.6010000000000004,2.6010000000000004,26.4,2383.2,5.5,152.874,4628686.9,2357.8,10.0,4626318.0
alcohol,4,70,12.571428571428571,0.4535845107273679,8.0,341318.0,2.765714285714285,2.765714285714285,28.428571428571427,2369.0,4.0,165.18999999999997,4633133.142857143,2341.5714285714284,8.0,4630780.0
alcohol,4,71,13.0,0.4042328042328043,11.0,345832.0,3.513333333333333,3.513333333333333,33.111111111111114,2997.222222222222,5.222222222222222,192.55888888888887,4638271.111111111,2965.1111111111113,11.0,4635294.0
alcohol,4,72,8.5,0.4903846153846154,6.0,351000.0,1.1624999999999999,1.1624999999999999,17.5,2268.25,3.0,86.13,4642721.25,2251.75,6.0,4640462.0
alcohol,4,73,12.5,0.5027755145522306,7.0,355261.0,2.47,2.47,25.0,2005.8333333333333,4.0,160.02,4646716.333333333,1981.8333333333333,7.0,4644723.0
alcohol,4,74,9.5,0.45261582297869574,12.0,359656.0,1.1624999999999999,1.1624999999999999,21.0,3091.625,6.375,89.22874999999999,4652198.125,3071.625,12.0,4649118.0
alcohol,4,75,11.166666666666666,0.3861110992980188,7.0,366044.0,2.6566666666666667,2.6566666666666667,30.333333333333332,1962.6666666666667,3.8333333333333335,138.94833333333335,4657449.5,1933.3333333333333,7.0,4655506.0
alcohol,4,76,14.2,0.4523495550061014,6.0,370408.0,3.5120000000000005,3.5120000000000005,33.8,2950.4,3.6,217.32399999999998,4662800.8,2917.6,6.0,4659870.0
alcohol,4,77,17.75,0.5105410281539557,6.0,375211.0,5.1975,5.1975,35.0,2118.75,3.25,224.04999999999998,4666774.5,2084.75,6.0,4664673.0
alcohol,4,78,13.666666666666666,0.38762695135725167,11.0,379596.0,5.733333333333333,5.733333333333333,39.77777777777778,1667.6666666666667,5.444444444444445,213.32111111111112,4670699.555555556,1628.888888888889,11.0,4669058.0
alcohol,4,79,14.4,0.44108527131782943,7.0,383981.0,4.296,4.296,33.4,2037.8,3.6,249.37400000000002,4675461.8,2005.4,7.0,4673443.0
alcohol,4,80,13.833333333333334,0.34826083110490275,8.0,388604.0,5.168333333333334,5.168333333333334,41.5,2708.6666666666665,4.333333333333333,229.22333333333336,4680747.0,2668.1666666666665,8.0,4678066.0
alcohol,4,81,13.2,0.4622249177648897,8.0,393099.0,3.0580000000000003,3.0580000000000003,29.4,2515.0,3.6,180.27,4685059.8,2486.6,8.0,4682561.0
alcohol,4,82,14.0,0.4348371490859924,10.0,398124.0,3.841111111111111,3.841111111111111,33.888888888888886,2013.111111111111,5.444444444444445,219.2411111111111,4689579.222222222,1980.2222222222222,10.0,4687586.0
alcohol,4,83,12.625,0.44102985829959507,10.0,402619.0,3.1387499999999995,3.1387499999999995,31.625,2757.0,4.75,166.1125,4694819.0,2726.375,10.0,4692081.0
alcohol,4,84,14.818181818181818,0.43013474574953664,11.0,407354.0,4.621818181818182,4.621818181818182,35.27272727272727,2560.4545454545455,6.0,210.65272727272725,4699356.0,2526.181818181818,11.0,4696816.0
alcohol,4,85,13.1,0.4369691692466461,11.0,412872.0,3.1719999999999997,3.1719999999999997,33.2,2906.5,5.6,166.795,4705220.4,2874.3,11.0,4702334.0
alcohol,4,86,14.0,0.3805342326055718,7.0,418779.0,4.986666666666666,4.986666666666666,39.0,2580.0,4.166666666666667,226.61333333333332,4710796.0,2542.0,7.0,4708241.0
alcohol,4,87,11.0,0.4243655333987142,9.0,423645.0,1.8516666666666666,1.8516666666666666,25.833333333333332,2207.8333333333335,4.0,119.635,4715300.0,2183.0,9.0,4713107.0
alcohol,4,88,12.727272727272727,0.46545169625383526,12.0,428376.0,3.394545454545455,3.394545454545455,29.0,2451.4545454545455,7.0,184.9827272727273,4720273.181818182,2423.4545454545455,12.0,4717838.0
alcohol,4,89,12.0,0.43939190617934576,9.0,432888.0,2.9711111111111115,2.9711111111111115,27.77777777777778,2702.6666666666665,5.0,157.35222222222222,4725036.888888889,2675.8888888888887,9.0,4722350.0
alcohol,4,90,10.666666666666666,0.5124674150608551,8.0,437594.0,1.7066666666666663,1.7066666666666663,20.666666666666668,2014.3333333333333,3.8333333333333335,118.89666666666666,4729060.333333333,1994.6666666666667,8.0,4727056.0
alcohol,4,91,13.0,0.48917748917748916,3.0,442248.0,3.345,3.345,27.0,1092.5,1.5,204.835,4732788.5,1066.5,3.0,4731710.0
